order,file_path,thumbnail,width,height,capture_location,date,set_key
1,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0001.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0001.jpg,2048,3320,n/a,n/a,n/a
2,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0002.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0002.jpg,2048,3490,n/a,n/a,n/a
3,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0003.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0003.jpg,2048,3533,n/a,n/a,n/a
4,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0004.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0004.jpg,2048,3318,n/a,n/a,n/a
5,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0005.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0005.jpg,2048,3599,n/a,n/a,n/a
6,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0006.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0006.jpg,2048,3618,n/a,n/a,n/a
7,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0007.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0007.jpg,2048,3494,n/a,n/a,n/a
8,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0008.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0008.jpg,2048,3459,n/a,n/a,n/a
9,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0009.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0009.jpg,2048,3478,n/a,n/a,n/a
10,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0010.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_13_JPGs/logbookofalfredg1851unse_0010.jpg,2048,3431,n/a,n/a,n/a
